,11,75,0,11,78,0,11,74,4,11,73,5,11,74,3,11,69,3,11,67,1,11,80,0,11,77,1,11,75,0,11,71,5,11,74,0,11,79,1,11,74,1,11,78,1,11,68,7,11,75,2,11,78,1,11,79,0,11,80,0,11,76,0,11,75,0,11,77,0,11,78,0,11,75,0,11,80,0,11,77,0,11,75,2,11,76,4,11,78,2,11,74,3,11,75,0,11,73,3,11,73,7,11,79,0,11,78,2,11,71,6,11,80,0,11,79,1,11,80,0,11,73,0,11,69,7,11,77,0,11,75,2,11,80,0,11,75,0,11,74,3,11,71,1,11,74,3,11,76,1
,12,75,0,12,78,0,12,74,4,12,73,5,12,73,4,12,69,3,12,67,1,12,80,0,12,77,1,12,75,0,12,70,6,12,74,0,12,79,1,12,74,1,12,78,1,12,68,7,12,75,2,12,78,1,12,79,0,12,80,0,12,76,0,12,75,0,12,77,0,12,77,1,12,75,0,12,80,0,12,77,0,12,74,3,12,76,4,12,78,2,12,74,3,12,75,0,12,73,3,12,73,7,12,79,0,12,78,2,12,71,6,12,80,0,12,79,1,12,80,0,12,73,0,12,69,7,12,77,0,12,75,2,12,80,0,12,74,1,12,73,4,12,70,2,12,74,3,12,76,1
,13,75,0,13,78,0,13,74,4,13,71,7,13,73,4,13,69,3,13,67,1,13,80,0,13,77,1,13,75,0,13,70,6,13,74,0,13,79,1,13,74,1,13,78,1,13,68,7,13,75,2,13,78,1,13,79,0,13,80,0,13,76,0,13,75,0,13,77,0,13,76,2,13,74,1,13,79,1,13,77,0,13,74,3,13,76,4,13,78,2,13,74,3,13,75,0,13,72,4,13,73,7,13,79,0,13,78,2,13,71,6,13,80,0,13,78,2,13,80,0,13,73,0,13,69,7,13,77,0,13,75,2,13,79,1,13,74,1,13,73,4,13,69,3,13,74,3,13,76,1
,14,75,0,14,78,0,14,74,4,14,71,7,14,73,4,14,69,3,14,67,1,14,80,0,14,77,1,14,75,0,14,70,6,14,74,0,14,79,1,14,74,1,14,78,1,14,68,7,14,75,2,14,78,1,14,78,1,14,80,0,14,76,0,14,75,0,14,77,0,14,76,2,14,73,2,14,78,2,14,77,0,14,74,3,14,76,4,14,78,2,14,73,4,14,75,0,14,72,4,14,73,7,14,79,0,14,78,2,14,71,6,14,80,0,14,78,2,14,80,0,14,73,0,14,69,7,14,77,0,14,75,2,14,79,1,14,74,1,14,73,4,14,68,4,14,73,4,14,76,1
,15,75,0,15,78,0,15,74,4,15,71,7,15,73,4,15,69,3,15,67,1,15,80,0,15,77,1,15,75,0,15,70,6,15,74,0,15,79,1,15,74,1,15,78,1,15,68,7,15,75,2,15,78,1,15,78,1,15,79,1,15,76,0,15,75,0,15,77,0,15,76,2,15,73,2,15,78,2,15,77,0,15,74,3,15,76,4,15,78,2,15,73,4,15,75,0,15,71,5,15,72,8,15,79,0,15,78,2,15,71,6,15,80,0,15,78,2,15,80,0,15,73,0,15,69,7,15,77,0,15,75,2,15,79,1,15,74,1,15,73,4,15,68,4,15,72,5,15,76,1
,16,75,0,16,78,0,16,74,4,16,71,7,16,73,4,16,69,3,16,67,1,16,80,0,16,77,1,16,75,0,16,69,7,16,74,0,16,79,1,16,74,1,16,77,2,16,68,7,16,75,2,16,77,2,16,77,2,16,79,1,16,76,0,16,75,0,16,77,0,16,76,2,16,73,2,16,78,2,16,76,1,16,74,3,16,75,5,16,78,2,16,73,4,16,75,0,16,71,5,16,72,8,16,79,0,16,78,2,16,71,6,16,80,0,16,77,3,16,80,0,16,73,0,16,68,8,16,77,0,16,75,2,16,79,1,16,74,1,16,72,5,16,68,4,16,71,6,16,76,1
,17,75,0,17,78,0,17,74,4,17,71,7,17,73,4,17,69,3,17,67,1,17,80,0,17,77,1,17,75,0,17,69,7,17,74,0,17,79,1,17,74,1,17,77,2,17,68,7,17,75,2,17,77,2,17,76,3,17,79,1,17,76,0,17,75,0,17,77,0,17,76,2,17,73,2,17,78,2,17,76,1,17,74,3,17,74,6,17,78,2,17,73,4,17,75,0,17,71,5,17,71,9,17,79,0,17,78,2,17,70,7,17,80,0,17,76,4,17,80,0,17,73,0,17,67,9,17,77,0,17,75,2,17,79,1,17,74,1,17,72,5,17,67,5,17,70,7,17,76,1
,18,75,0,18,78,0,18,74,4,18,71,7,18,73,4,18,69,3,18,67,1,18,80,0,18,77,1,18,75,0,18,68,8,18,74,0,18,79,1,18,74,1,18,77,2,18,67,8,18,75,2,18,77,2,18,74,5,18,79,1,18,76,0,18,75,0,18,77,0,18,75,3,18,73,2,18,78,2,18,76,1,18,74,3,18,74,6,18,78,2,18,73,4,18,75,0,18,71,5,18,71,9,18,79,0,18,78,2,18,68,9,18,79,1,18,76,4,18,80,0,18,73,0,18,67,9,18,77,0,18,75,2,18,79,1,18,74,1,18,72,5,18,67,5,18,70,7,18,76,1
,19,75,0,19,78,0,19,74,4,19,71,7,19,73,4,19,69,3,19,67,1,19,79,1,19,77,1,19,75,0,19,68,8,19,74,0,19,79,1,19,74,1,19,77,2,19,67,8,19,75,2,19,77,2,19,73,6,19,79,1,19,76,0,19,75,0,19,77,0,19,75,3,19,73,2,19,78,2,19,76,1,19,74,3,19,74,6,19,78,2,19,73,4,19,75,0,19,71,5,19,71,9,19,79,0,19,78,2,19,68,9,19,79,1,19,75,5,19,80,0,19,72,1,19,67,9,19,77,0,19,75,2,19,79,1,19,73,2,19,71,6,19,67,5,19,69,8,19,76,1
,20,75,0,20,77,1,20,73,5,20,71,7,20,72,5,20,69,3,20,67,1,20,79,1,20,77,1,20,75,0,20,68,8,20,74,0,20,79,1,20,74,1,20,77,2,20,67,8,20,75,2,20,77,2,20,71,8,20,78,2,20,76,0,20,75,0,20,76,1,20,75,3,20,73,2,20,77,3,20,76,1,20,74,3,20,74,6,20,78,2,20,73,4,20,75,0,20,70,6,20,71,9,20,79,0,20,78,2,20,68,9,20,79,1,20,74,6,20,80,0,20,72,1,20,67,9,20,77,0,20,75,2,20,78,2,20,72,3,20,71,6,20,67,5,20,69,8,20,76,1
